"rank","name","usps","pop2022","pop2010","growth","density","aland_sqmi"
"163","Springfield","MO","168911","159376","0.0598","2050","82.3920"
"164","Clarksville","TN","163456","133486","0.2245","1654","98.7960"
"165","Murfreesboro","TN","163274","109572","0.4901","2646","61.7090"
"166","Lakewood","CO","161694","142759","0.1326","3756","43.0470"
"167","Bayamon","PR","161034","185996","-0.1342","5969","26.9780"
"168","Killeen","TX","160615","129024","0.2448","2945","54.5450"
"169","Alexandria","VA","160505","140729","0.1405","10748","14.9340"
"170","Midland","TX","157633","111276","0.4166","2119","74.3830"
"171","Hayward","CA","157532","144835","0.0877","3459","45.5370"
"172","Hollywood","FL","156125","141013","0.1072","5725","27.2690"
"173","Salinas","CA","154919","150887","0.0267","6613","23.4280"
"174","Lancaster","CA","154538","156824","-0.0146","1639","94.2810"
"175","Macon","GA","153927","155814","-0.0121","617","249.3980"
"176","Surprise","AZ","153505","117643","0.3048","1421","108.0630"
"177","Kansas City","KS","152945","145878","0.0484","1225","124.8150"
"178","Sunnyvale","CA","152391","140462","0.0849","6917","22.0300"
"179","Palmdale","CA","151842","152936","-0.0072","1431","106.0760"
"180","Bellevue","WA","151464","128357","0.1800","4527","33.4610"
"181","Springfield","MA","151437","153569","-0.0139","4752","31.8690"
"182","Denton","TX","151219","117010","0.2924","1571","96.2360"
"183","Jackson","MS","151196","173698","-0.1295","1361","111.0860"
"184","Escondido","CA","151121","144440","0.0463","4050","37.3140"
"185","Pomona","CA","150989","149107","0.0126","6570","22.9820"
"186","Naperville","IL","149526","142402","0.0500","3853","38.8110"
"187","Roseville","CA","149141","119916","0.2437","3383","44.0790"
"188","Thornton","CO","147800","119391","0.2379","4118","35.8910"
"189","Round Rock","TX","146941","100772","0.4582","4058","36.2130"
"190","Pasadena","TX","146709","149523","-0.0188","3366","43.5860"
"191","Joliet","IL","146186","147524","-0.0091","2279","64.1520"
"192","Carrollton","TX","145953","119564","0.2207","3980","36.6690"
"193","McAllen","TX","145482","132093","0.1014","2214","65.6980"
"194","Paterson","NJ","144150","146391","-0.0153","17134","8.4130"
"195","Rockford","IL","143515","153147","-0.0629","2229","64.3790"
"196","Waco","TX","143286","125377","0.1428","1613","88.8560"
"197","Bridgeport","CT","143280","144864","-0.0109","8919","16.0640"
"198","Miramar","FL","143072","122300","0.1698","4959","28.8530"
"199","Olathe","KS","142906","126269","0.1318","2318","61.6420"
"200","Metairie","LA","142135","138481","0.0264","6111","23.2590"
